year,territory,nationality,sector,men,women,total
2014,Total Nacional,Extranjera: Unión Europea,Servicios,232.7,304.8,537.5
2014,Total Nacional,Extranjera: Unión Europea,Total,385.9,350.1,736.0
2014,Total Nacional,Total,Agricultura,558.4,177.4,735.8
2014,Total Nacional,Total,Construcción,910.2,83.3,993.5
2014,Total Nacional,Total,Industria,1795.2,584.8,2379.9
2014,Total Nacional,Total,Servicios,6178.9,7056.0,13234.9
2014,Total Nacional,Total,Total,9442.7,7901.5,17344.2
2015,Total Nacional,Doble nacionalidad,Agricultura,11.9,2.6,14.5
2015,Total Nacional,Doble nacionalidad,Construcción,18.1,0.7,18.7
2015,Total Nacional,Doble nacionalidad,Industria,32.3,10.6,42.9
2015,Total Nacional,Doble nacionalidad,Servicios,138.1,214.8,352.8
2015,Total Nacional,Doble nacionalidad,Total,200.3,228.6,428.9
2015,Total Nacional,Española,Agricultura,429.6,135.6,565.2
2015,Total Nacional,Española,Construcción,833.3,77.0,910.4
2015,Total Nacional,Española,Industria,1702.0,568.6,2270.6
2015,Total Nacional,Española,Servicios,5598.5,6184.1,11782.6
2015,Total Nacional,Española,Total,8563.4,6965.3,15528.7
2015,Total Nacional,Extranjera: América Latina,Agricultura,20.7,4.6,25.3
2015,Total Nacional,Extranjera: América Latina,Construcción,33.4,1.8,35.2
2015,Total Nacional,Extranjera: América Latina,Industria,27.5,8.4,35.9
2015,Total Nacional,Extranjera: América Latina,Servicios,150.3,315.3,465.6
2015,Total Nacional,Extranjera: América Latina,Total,232.0,330.0,562.0
2015,Total Nacional,Extranjera: Resto de Europa,Agricultura,1.4,0.0,1.4
2015,Total Nacional,Extranjera: Resto de Europa,Construcción,11.3,0.0,11.3
2015,Total Nacional,Extranjera: Resto de Europa,Industria,7.9,3.8,11.7
2015,Total Nacional,Extranjera: Resto de Europa,Servicios,26.2,69.2,95.4
2015,Total Nacional,Extranjera: Resto de Europa,Total,46.9,73.1,119.9
2015,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,61.8,10.1,71.8
2015,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,28.7,0.0,28.7
2015,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,39.1,6.7,45.8
2015,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,203.2,135.3,338.5
2015,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,332.8,152.0,484.8
2015,Total Nacional,Extranjera: Total,Agricultura,124.3,32.8,157.1
2015,Total Nacional,Extranjera: Total,Construcción,140.3,4.3,144.6
2015,Total Nacional,Extranjera: Total,Industria,125.6,43.3,168.9
2015,Total Nacional,Extranjera: Total,Servicios,606.4,831.5,1437.9
2015,Total Nacional,Extranjera: Total,Total,996.6,911.9,1908.5
2015,Total Nacional,Extranjera: Unión Europea,Agricultura,40.4,18.2,58.6
2015,Total Nacional,Extranjera: Unión Europea,Construcción,66.9,2.6,69.4
2015,Total Nacional,Extranjera: Unión Europea,Industria,51.1,24.3,75.4
2015,Total Nacional,Extranjera: Unión Europea,Servicios,226.7,311.7,538.4
2015,Total Nacional,Extranjera: Unión Europea,Total,385.0,356.8,741.8
2015,Total Nacional,Total,Agricultura,565.8,171.0,736.8
2015,Total Nacional,Total,Construcción,991.7,82.0,1073.7
2015,Total Nacional,Total,Industria,1860.0,622.4,2482.3
2015,Total Nacional,Total,Servicios,6342.9,7230.4,13573.3
2015,Total Nacional,Total,Total,9760.3,8105.7,17866.0
2016,Total Nacional,Doble nacionalidad,Agricultura,13.0,2.9,16.0
2016,Total Nacional,Doble nacionalidad,Construcción,28.2,2.1,30.3
2016,Total Nacional,Doble nacionalidad,Industria,30.4,13.2,43.6
2016,Total Nacional,Doble nacionalidad,Servicios,155.5,265.5,421.0
2016,Total Nacional,Doble nacionalidad,Total,227.1,283.7,510.9
2016,Total Nacional,Española,Agricultura,447.5,142.5,590.0
2016,Total Nacional,Española,Construcción,801.7,78.4,880.1
2016,Total Nacional,Española,Industria,1738.2,570.0,2308.2
2016,Total Nacional,Española,Servicios,5727.6,6344.2,12071.8
2016,Total Nacional,Española,Total,8715.1,7135.0,15850.1
2016,Total Nacional,Extranjera: América Latina,Agricultura,17.8,7.8,25.6
2016,Total Nacional,Extranjera: América Latina,Construcción,41.0,1.5,42.5
2016,Total Nacional,Extranjera: América Latina,Industria,31.7,8.1,39.8
2016,Total Nacional,Extranjera: América Latina,Servicios,163.3,322.5,485.8
2016,Total Nacional,Extranjera: América Latina,Total,253.7,340.0,593.7
2016,Total Nacional,Extranjera: Resto de Europa,Agricultura,1.1,0.2,1.3
2016,Total Nacional,Extranjera: Resto de Europa,Construcción,13.0,0.6,13.6
2016,Total Nacional,Extranjera: Resto de Europa,Industria,6.6,1.9,8.4
2016,Total Nacional,Extranjera: Resto de Europa,Servicios,20.7,53.6,74.4
2016,Total Nacional,Extranjera: Resto de Europa,Total,41.4,56.3,97.7
2016,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,75.3,9.4,84.7
2016,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,34.7,0.0,34.7
2016,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,39.9,8.3,48.2
2016,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,206.5,135.3,341.8
