year,territory,nationality,sector,men,women,total
2020,Total Nacional,Extranjera: Resto de Europa,Servicios,61.3,101.6,163.0
2020,Total Nacional,Extranjera: Resto de Europa,Total,93.3,108.1,201.4
2020,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,76.4,9.6,86.1
2020,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,39.3,0.3,39.6
2020,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,55.1,12.0,67.1
2020,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,214.6,149.6,364.2
2020,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,385.4,171.6,557.0
2020,Total Nacional,Extranjera: Total,Agricultura,132.9,28.3,161.3
2020,Total Nacional,Extranjera: Total,Construcción,197.9,5.4,203.3
2020,Total Nacional,Extranjera: Total,Industria,181.6,69.0,250.6
2020,Total Nacional,Extranjera: Total,Servicios,743.8,962.1,1705.9
2020,Total Nacional,Extranjera: Total,Total,1256.3,1064.8,2321.1
2020,Total Nacional,Extranjera: Unión Europea,Agricultura,30.3,12.2,42.5
2020,Total Nacional,Extranjera: Unión Europea,Construcción,79.0,2.7,81.7
2020,Total Nacional,Extranjera: Unión Europea,Industria,68.9,36.3,105.3
2020,Total Nacional,Extranjera: Unión Europea,Servicios,254.0,329.7,583.7
2020,Total Nacional,Extranjera: Unión Europea,Total,432.2,381.0,813.2
2020,Total Nacional,Total,Agricultura,593.9,171.4,765.3
2020,Total Nacional,Total,Construcción,1142.2,101.9,1244.1
2020,Total Nacional,Total,Industria,1958.2,740.0,2698.2
2020,Total Nacional,Total,Servicios,6735.4,7759.4,14494.8
2020,Total Nacional,Total,Total,10429.7,8772.7,19202.4
2021,Total Nacional,Doble nacionalidad,Agricultura,16.6,8.1,24.7
2021,Total Nacional,Doble nacionalidad,Construcción,57.8,6.1,63.9
2021,Total Nacional,Doble nacionalidad,Industria,50.4,20.3,70.7
2021,Total Nacional,Doble nacionalidad,Servicios,243.2,383.1,626.3
2021,Total Nacional,Doble nacionalidad,Total,368.1,417.6,785.7
2021,Total Nacional,Española,Agricultura,453.8,147.5,601.4
2021,Total Nacional,Española,Construcción,895.3,104.4,999.6
2021,Total Nacional,Española,Industria,1781.3,618.5,2399.8
2021,Total Nacional,Española,Servicios,5921.3,6704.0,12625.3
2021,Total Nacional,Española,Total,9051.7,7574.4,16626.2
2021,Total Nacional,Extranjera: América Latina,Agricultura,28.3,8.4,36.7
2021,Total Nacional,Extranjera: América Latina,Construcción,89.2,2.5,91.7
2021,Total Nacional,Extranjera: América Latina,Industria,50.9,22.7,73.7
2021,Total Nacional,Extranjera: América Latina,Servicios,242.4,458.2,700.6
2021,Total Nacional,Extranjera: América Latina,Total,410.8,491.8,902.7
2021,Total Nacional,Extranjera: Resto de Europa,Agricultura,0.9,0.7,1.6
2021,Total Nacional,Extranjera: Resto de Europa,Construcción,18.6,1.9,20.5
2021,Total Nacional,Extranjera: Resto de Europa,Industria,12.9,4.3,17.2
2021,Total Nacional,Extranjera: Resto de Europa,Servicios,58.4,83.5,141.9
2021,Total Nacional,Extranjera: Resto de Europa,Total,90.8,90.4,181.1
2021,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,99.0,13.3,112.3
2021,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,52.7,2.4,55.1
2021,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,44.1,11.5,55.6
2021,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,208.4,160.5,368.9
2021,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,404.1,187.8,591.9
2021,Total Nacional,Extranjera: Total,Agricultura,152.8,39.2,192.0
2021,Total Nacional,Extranjera: Total,Construcción,238.6,13.0,251.6
2021,Total Nacional,Extranjera: Total,Industria,171.0,69.1,240.0
2021,Total Nacional,Extranjera: Total,Servicios,751.0,987.0,1738.0
2021,Total Nacional,Extranjera: Total,Total,1313.3,1108.3,2421.6
2021,Total Nacional,Extranjera: Unión Europea,Agricultura,24.6,16.8,41.4
2021,Total Nacional,Extranjera: Unión Europea,Construcción,78.2,6.2,84.4
2021,Total Nacional,Extranjera: Unión Europea,Industria,63.1,30.4,93.5
2021,Total Nacional,Extranjera: Unión Europea,Servicios,241.8,284.8,526.6
2021,Total Nacional,Extranjera: Unión Europea,Total,407.6,338.3,745.9
2021,Total Nacional,Total,Agricultura,623.2,194.8,818.0
2021,Total Nacional,Total,Construcción,1191.7,123.5,1315.2
2021,Total Nacional,Total,Industria,2002.7,707.8,2710.6
2021,Total Nacional,Total,Servicios,6915.5,8074.1,14989.7
2021,Total Nacional,Total,Total,10733.2,9100.3,19833.5
2022,Total Nacional,Doble nacionalidad,Agricultura,11.4,5.2,16.6
2022,Total Nacional,Doble nacionalidad,Construcción,54.4,5.4,59.9
2022,Total Nacional,Doble nacionalidad,Industria,59.9,23.9,83.7
2022,Total Nacional,Doble nacionalidad,Servicios,291.2,430.5,721.6
2022,Total Nacional,Doble nacionalidad,Total,416.9,465.0,881.9
2022,Total Nacional,Española,Agricultura,441.8,143.2,585.1
2022,Total Nacional,Española,Construcción,900.9,105.9,1006.8
2022,Total Nacional,Española,Industria,1775.5,660.7,2436.2
2022,Total Nacional,Española,Servicios,6090.0,6837.7,12927.7
2022,Total Nacional,Española,Total,9208.3,7747.4,16955.7
2022,Total Nacional,Extranjera: América Latina,Agricultura,25.0,8.4,33.4
2022,Total Nacional,Extranjera: América Latina,Construcción,97.7,3.8,101.5
2022,Total Nacional,Extranjera: América Latina,Industria,53.3,23.1,76.3
2022,Total Nacional,Extranjera: América Latina,Servicios,304.6,508.7,813.3
2022,Total Nacional,Extranjera: América Latina,Total,480.6,544.0,1024.6
2022,Total Nacional,Extranjera: Resto de Europa,Agricultura,2.5,0.5,3.0
2022,Total Nacional,Extranjera: Resto de Europa,Construcción,19.9,1.9,21.8
2022,Total Nacional,Extranjera: Resto de Europa,Industria,9.0,2.7,11.7
2022,Total Nacional,Extranjera: Resto de Europa,Servicios,60.0,91.9,151.8
2022,Total Nacional,Extranjera: Resto de Europa,Total,91.4,96.9,188.3
2022,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,104.4,10.8,115.2
2022,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,62.1,0.7,62.8
2022,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,60.7,19.9,80.5
2022,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,241.9,183.1,425.0
2022,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,469.1,214.5,683.5
2022,Total Nacional,Extranjera: Total,Agricultura,160.6,36.2,196.8
2022,Total Nacional,Extranjera: Total,Construcción,275.1,13.2,288.3
2022,Total Nacional,Extranjera: Total,Industria,182.5,76.7,259.2
2022,Total Nacional,Extranjera: Total,Servicios,871.2,1094.4,1965.6
2022,Total Nacional,Extranjera: Total,Total,1489.4,1220.5,2709.9
2022,Total Nacional,Extranjera: Unión Europea,Agricultura,28.7,16.5,45.1
2022,Total Nacional,Extranjera: Unión Europea,Construcción,95.4,6.8,102.2
2022,Total Nacional,Extranjera: Unión Europea,Industria,59.5,31.1,90.6
2022,Total Nacional,Extranjera: Unión Europea,Servicios,264.8,310.7,575.5
2022,Total Nacional,Extranjera: Unión Europea,Total,448.4,365.1,813.4
2022,Total Nacional,Total,Agricultura,613.8,184.6,798.5
2022,Total Nacional,Total,Construcción,1230.5,124.5,1355.0
2022,Total Nacional,Total,Industria,2017.9,761.2,2779.1
2022,Total Nacional,Total,Servicios,7252.4,8362.6,15614.9
2022,Total Nacional,Total,Total,11114.6,9432.9,20547.5
2023,Total Nacional,Doble nacionalidad,Agricultura,13.2,6.7,19.9
2023,Total Nacional,Doble nacionalidad,Construcción,68.5,6.5,75.0
2023,Total Nacional,Doble nacionalidad,Industria,63.3,27.5,90.7
2023,Total Nacional,Doble nacionalidad,Servicios,294.6,490.8,785.5
2023,Total Nacional,Doble nacionalidad,Total,439.6,531.5,971.1
2023,Total Nacional,Española,Agricultura,424.4,145.5,570.0
2023,Total Nacional,Española,Construcción,888.9,100.7,989.6
2023,Total Nacional,Española,Industria,1773.2,658.1,2431.3
2023,Total Nacional,Española,Servicios,6244.0,6951.3,13195.3
2023,Total Nacional,Española,Total,9330.6,7855.6,17186.2
2023,Total Nacional,Extranjera: América Latina,Agricultura,20.8,9.7,30.5
2023,Total Nacional,Extranjera: América Latina,Construcción,133.4,5.2,138.5
2023,Total Nacional,Extranjera: América Latina,Industria,59.9,31.6,91.5
2023,Total Nacional,Extranjera: América Latina,Servicios,334.1,602.3,936.4
2023,Total Nacional,Extranjera: América Latina,Total,548.1,648.8,1196.9
2023,Total Nacional,Extranjera: Resto de Europa,Agricultura,4.2,1.1,5.3
2023,Total Nacional,Extranjera: Resto de Europa,Construcción,29.9,2.2,32.1
2023,Total Nacional,Extranjera: Resto de Europa,Industria,12.2,3.5,15.7
2023,Total Nacional,Extranjera: Resto de Europa,Servicios,68.0,113.7,181.7
2023,Total Nacional,Extranjera: Resto de Europa,Total,114.2,120.5,234.8
2023,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,86.9,11.6,98.4
2023,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,74.7,1.2,75.9
2023,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,62.6,17.7,80.3
2023,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,270.8,214.3,485.1
2023,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,495.0,244.8,739.8
2023,Total Nacional,Extranjera: Total,Agricultura,140.3,37.2,177.5
2023,Total Nacional,Extranjera: Total,Construcción,319.1,14.3,333.4
2023,Total Nacional,Extranjera: Total,Industria,199.6,92.9,292.5
2023,Total Nacional,Extranjera: Total,Servicios,947.5,1274.2,2221.6
2023,Total Nacional,Extranjera: Total,Total,1606.4,1418.5,3024.9
2023,Total Nacional,Extranjera: Unión Europea,Agricultura,28.5,14.7,43.3
2023,Total Nacional,Extranjera: Unión Europea,Construcción,81.1,5.7,86.8
2023,Total Nacional,Extranjera: Unión Europea,Industria,64.9,40.0,104.9
2023,Total Nacional,Extranjera: Unión Europea,Servicios,274.5,343.9,618.4
2023,Total Nacional,Extranjera: Unión Europea,Total,449.1,404.3,853.4
2023,Total Nacional,Total,Agricultura,577.9,189.4,767.3
2023,Total Nacional,Total,Construcción,1276.6,121.4,1398.0
2023,Total Nacional,Total,Industria,2036.0,778.5,2814.5
2023,Total Nacional,Total,Servicios,7486.1,8716.3,16202.4
2023,Total Nacional,Total,Total,11376.7,9805.5,21182.2
2024,Total Nacional,Doble nacionalidad,Agricultura,14.6,10.0,24.7
2024,Total Nacional,Doble nacionalidad,Construcción,83.8,4.3,88.1
2024,Total Nacional,Doble nacionalidad,Industria,72.6,37.1,109.6
2024,Total Nacional,Doble nacionalidad,Servicios,351.1,562.4,913.5
2024,Total Nacional,Doble nacionalidad,Total,522.1,613.7,1135.8
2024,Total Nacional,Española,Agricultura,395.2,149.3,544.5
2024,Total Nacional,Española,Construcción,912.4,112.1,1024.5
2024,Total Nacional,Española,Industria,1766.3,666.3,2432.6
2024,Total Nacional,Española,Servicios,6255.9,7026.7,13282.5
2024,Total Nacional,Española,Total,9329.8,7954.3,17284.1
2024,Total Nacional,Extranjera: América Latina,Agricultura,19.0,10.1,29.1
2024,Total Nacional,Extranjera: América Latina,Construcción,158.6,6.0,164.5
2024,Total Nacional,Extranjera: América Latina,Industria,79.0,35.4,114.4
2024,Total Nacional,Extranjera: América Latina,Servicios,380.8,640.9,1021.7
2024,Total Nacional,Extranjera: América Latina,Total,637.5,692.4,1329.8
2024,Total Nacional,Extranjera: Resto de Europa,Agricultura,4.3,2.4,6.7
2024,Total Nacional,Extranjera: Resto de Europa,Construcción,25.8,2.7,28.5
2024,Total Nacional,Extranjera: Resto de Europa,Industria,14.1,9.2,23.3
2024,Total Nacional,Extranjera: Resto de Europa,Servicios,69.5,111.9,181.4
2024,Total Nacional,Extranjera: Resto de Europa,Total,113.6,126.2,239.8
2024,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,89.5,10.1,99.6
2024,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,69.9,0.5,70.4
2024,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,65.4,15.1,80.5
2024,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,285.1,199.8,484.9
2024,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,509.9,225.5,735.4
2024,Total Nacional,Extranjera: Total,Agricultura,139.2,43.7,183.0
2024,Total Nacional,Extranjera: Total,Construcción,336.9,14.4,351.3
2024,Total Nacional,Extranjera: Total,Industria,239.5,105.1,344.6
2024,Total Nacional,Extranjera: Total,Servicios,1034.0,1321.2,2355.1
2024,Total Nacional,Extranjera: Total,Total,1749.6,1484.4,3234.0
2024,Total Nacional,Extranjera: Unión Europea,Agricultura,26.4,21.1,47.6
2024,Total Nacional,Extranjera: Unión Europea,Construcción,82.7,5.2,87.9
2024,Total Nacional,Extranjera: Unión Europea,Industria,81.0,45.4,126.5
2024,Total Nacional,Extranjera: Unión Europea,Servicios,298.5,368.6,667.1
2024,Total Nacional,Extranjera: Unión Europea,Total,488.6,440.4,929.0
2024,Total Nacional,Total,Agricultura,549.1,203.0,752.1
2024,Total Nacional,Total,Construcción,1333.0,130.8,1463.8
2024,Total Nacional,Total,Industria,2078.4,808.4,2886.8
2024,Total Nacional,Total,Servicios,7640.9,8910.2,16551.1
2024,Total Nacional,Total,Total,11601.4,10052.5,21653.9
2025,Total Nacional,Doble nacionalidad,Agricultura,13.9,7.7,21.6
2025,Total Nacional,Doble nacionalidad,Construcción,87.6,8.5,96.1
2025,Total Nacional,Doble nacionalidad,Industria,71.2,40.6,111.8
2025,Total Nacional,Doble nacionalidad,Servicios,400.9,609.1,1010.0
2025,Total Nacional,Doble nacionalidad,Total,573.5,665.8,1239.4
2025,Total Nacional,Española,Agricultura,389.4,144.8,534.2
2025,Total Nacional,Española,Construcción,920.9,126.5,1047.4
2025,Total Nacional,Española,Industria,1813.0,705.6,2518.6
2025,Total Nacional,Española,Servicios,6268.6,7124.1,13392.8
2025,Total Nacional,Española,Total,9392.1,8101.0,17493.0
2025,Total Nacional,Extranjera: América Latina,Agricultura,30.1,9.0,39.1
2025,Total Nacional,Extranjera: América Latina,Construcción,172.2,9.8,182.0
2025,Total Nacional,Extranjera: América Latina,Industria,103.0,40.5,143.5
2025,Total Nacional,Extranjera: América Latina,Servicios,393.2,694.1,1087.3
2025,Total Nacional,Extranjera: América Latina,Total,698.5,753.4,1451.9
2025,Total Nacional,Extranjera: Resto de Europa,Agricultura,3.2,2.0,5.2
2025,Total Nacional,Extranjera: Resto de Europa,Construcción,26.5,0.7,27.3
2025,Total Nacional,Extranjera: Resto de Europa,Industria,13.8,6.1,19.9
2025,Total Nacional,Extranjera: Resto de Europa,Servicios,84.3,117.3,201.6
2025,Total Nacional,Extranjera: Resto de Europa,Total,127.8,126.2,254.1
2025,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,100.4,16.2,116.7
2025,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,84.6,1.2,85.8
2025,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,70.5,14.8,85.3
2025,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,308.6,216.9,525.5
2025,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,564.1,249.2,813.3
2025,Total Nacional,Extranjera: Total,Agricultura,159.1,48.7,207.9
2025,Total Nacional,Extranjera: Total,Construcción,370.6,15.9,386.5
2025,Total Nacional,Extranjera: Total,Industria,267.4,107.7,375.2
2025,Total Nacional,Extranjera: Total,Servicios,1107.8,1411.4,2519.2
2025,Total Nacional,Extranjera: Total,Total,1904.9,1583.8,3488.7
2025,Total Nacional,Extranjera: Unión Europea,Agricultura,25.4,21.4,46.9
2025,Total Nacional,Extranjera: Unión Europea,Construcción,87.3,4.1,91.4
2025,Total Nacional,Extranjera: Unión Europea,Industria,80.1,46.3,126.4
2025,Total Nacional,Extranjera: Unión Europea,Servicios,321.7,383.1,704.8
2025,Total Nacional,Extranjera: Unión Europea,Total,514.5,455.0,969.5
2025,Total Nacional,Total,Agricultura,562.5,201.2,763.7
2025,Total Nacional,Total,Construcción,1379.2,150.8,1530.0
2025,Total Nacional,Total,Industria,2151.6,853.9,3005.5
2025,Total Nacional,Total,Servicios,7777.3,9144.6,16921.9
2025,Total Nacional,Total,Total,11870.5,10350.6,22221.1
