province_std,region,province_original,year,nationality,total_detentions
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2010,Paquistán,50
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2010,Paraguay,430
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2010,Perú,140
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2010,Polonia,40
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2010,Portugal,390
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2010,Reino Unido,30
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2010,Rep. Dominicana,120
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2010,Resto África,900
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2010,Resto América,160
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2010,Resto de Asia,80
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2010,Resto de Europa,480
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2010,Rumanía,3050
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2010,Rusia,80
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2010,Senegal,400
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2010,Ucrania,80
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2010,Uruguay,0
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2010,Venezuela,140
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Alemania,40
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Argelia,990
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Argentina,160
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2010,Bangladesh,0
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Bélgica,40
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Bolivia,170
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Brasil,180
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Bulgaría,50
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Camerún,60
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Chile,50
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2010,China,120
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Colombia,680
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Cuba,130
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Ecuador,630
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2010,Filipinas,0
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Francia,1730
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Gambia,0
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Ghana,50
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Guinea Bisau,30
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Guinea Ecuatorial,110
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Holanda,0
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2010,India,0
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2010,Irán,0
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Italia,80
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Lituania,60
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Mali,0
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Marruecos,3350
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Nigeria,70
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2010,Paquistán,140
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Paraguay,10
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Perú,140
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Polonia,90
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Portugal,690
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Reino Unido,50
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Rep. Dominicana,130
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Resto África,270
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Resto América,370
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2010,Resto de Asia,130
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Resto de Europa,450
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Rumanía,2180
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Rusia,50
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2010,Senegal,180
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2010,Ucrania,90
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Uruguay,0
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2010,Venezuela,70
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Alemania,10
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Argelia,630
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Argentina,40
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2011,Bangladesh,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Bélgica,10
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Bolivia,60
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Brasil,130
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Bulgaría,20
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Camerún,270
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Chile,10
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2011,China,50
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Colombia,560
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Cuba,60
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Ecuador,250
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2011,Filipinas,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Francia,70
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Gambia,10
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Ghana,10
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Guinea Bisau,0
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Guinea Ecuatorial,150
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Holanda,10
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2011,India,0
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2011,Irán,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Italia,0
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Lituania,0
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Mali,20
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Marruecos,1060
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Nigeria,110
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2011,Paquistán,60
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Paraguay,90
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Perú,100
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Polonia,50
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Portugal,300
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Reino Unido,0
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Rep. Dominicana,230
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Resto África,130
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Resto América,30
Araba,CONTINENTE ASIÁTICO,Araba/Álava,2011,Resto de Asia,60
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Resto de Europa,280
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Rumanía,1180
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Rusia,10
Araba,CONTINENTE AFRICANO,Araba/Álava,2011,Senegal,70
Araba,CONTINENTE EUROPEO,Araba/Álava,2011,Ucrania,50
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Uruguay,20
Araba,CONTINENTE AMERICANO,Araba/Álava,2011,Venezuela,50
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Alemania,80
