year,territory,nationality,men,women,total
2019,Total Nacional,Total,10745.6,9033.7,19779.3
2020,Total Nacional,Doble nacionalidad,326.3,370.0,696.3
2020,Total Nacional,Española,8847.1,7337.9,16185.0
2020,Total Nacional,Extranjera: América Latina,345.4,404.2,749.5
2020,Total Nacional,Extranjera: Resto de Europa,93.3,108.1,201.4
2020,Total Nacional,Extranjera: Resto del mundo y apátrida,385.4,171.6,557.0
2020,Total Nacional,Extranjera: Total,1256.3,1064.8,2321.1
2020,Total Nacional,Extranjera: Unión Europea,432.2,381.0,813.2
2020,Total Nacional,Total,10429.7,8772.7,19202.4
2021,Total Nacional,Doble nacionalidad,368.1,417.6,785.7
2021,Total Nacional,Española,9051.7,7574.4,16626.2
2021,Total Nacional,Extranjera: América Latina,410.8,491.8,902.7
2021,Total Nacional,Extranjera: Resto de Europa,90.8,90.4,181.1
2021,Total Nacional,Extranjera: Resto del mundo y apátrida,404.1,187.8,591.9
2021,Total Nacional,Extranjera: Total,1313.3,1108.3,2421.6
2021,Total Nacional,Extranjera: Unión Europea,407.6,338.3,745.9
2021,Total Nacional,Total,10733.2,9100.3,19833.5
2022,Total Nacional,Doble nacionalidad,416.9,465.0,881.9
2022,Total Nacional,Española,9208.3,7747.4,16955.7
2022,Total Nacional,Extranjera: América Latina,480.6,544.0,1024.6
2022,Total Nacional,Extranjera: Resto de Europa,91.4,96.9,188.3
2022,Total Nacional,Extranjera: Resto del mundo y apátrida,469.1,214.5,683.5
2022,Total Nacional,Extranjera: Total,1489.4,1220.5,2709.9
2022,Total Nacional,Extranjera: Unión Europea,448.4,365.1,813.4
2022,Total Nacional,Total,11114.6,9432.9,20547.5
2023,Total Nacional,Doble nacionalidad,439.6,531.5,971.1
2023,Total Nacional,Española,9330.6,7855.6,17186.2
2023,Total Nacional,Extranjera: América Latina,548.1,648.8,1196.9
2023,Total Nacional,Extranjera: Resto de Europa,114.2,120.5,234.8
2023,Total Nacional,Extranjera: Resto del mundo y apátrida,495.0,244.8,739.8
2023,Total Nacional,Extranjera: Total,1606.4,1418.5,3024.9
2023,Total Nacional,Extranjera: Unión Europea,449.1,404.3,853.4
2023,Total Nacional,Total,11376.7,9805.5,21182.2
2024,Total Nacional,Doble nacionalidad,522.1,613.7,1135.8
2024,Total Nacional,Española,9329.8,7954.3,17284.1
2024,Total Nacional,Extranjera: América Latina,637.5,692.4,1329.8
2024,Total Nacional,Extranjera: Resto de Europa,113.6,126.2,239.8
2024,Total Nacional,Extranjera: Resto del mundo y apátrida,509.9,225.5,735.4
2024,Total Nacional,Extranjera: Total,1749.6,1484.4,3234.0
2024,Total Nacional,Extranjera: Unión Europea,488.6,440.4,929.0
2024,Total Nacional,Total,11601.4,10052.5,21653.9
2025,Total Nacional,Doble nacionalidad,573.5,665.8,1239.4
2025,Total Nacional,Española,9392.1,8101.0,17493.0
2025,Total Nacional,Extranjera: América Latina,698.5,753.4,1451.9
2025,Total Nacional,Extranjera: Resto de Europa,127.8,126.2,254.1
2025,Total Nacional,Extranjera: Resto del mundo y apátrida,564.1,249.2,813.3
2025,Total Nacional,Extranjera: Total,1904.9,1583.8,3488.7
2025,Total Nacional,Extranjera: Unión Europea,514.5,455.0,969.5
2025,Total Nacional,Total,11870.5,10350.6,22221.1
