ccaa,province_std,nationality,year,employed_population,unemployed_population,inactive_population,total_population
País Vasco,Gipuzkoa,Africa,2022,4520.0,2203.0,5240.0,11963.0
País Vasco,Gipuzkoa,America,2022,9806.0,1011.0,10269.0,21086.0
País Vasco,Gipuzkoa,Europe,2022,7996.0,1270.0,5555.0,14821.0
País Vasco,Gipuzkoa,Asia,2022,2053.0,369.0,1698.0,4120.0
País Vasco,Gipuzkoa,Asia,2023,2240.0,391.0,1496.0,4127.0
País Vasco,Gipuzkoa,Oceania,2023,35.0,5.0,41.0,81.0
País Vasco,Gipuzkoa,Africa,2023,5137.0,2350.0,4429.0,11916.0
País Vasco,Gipuzkoa,Total,2023,27391.0,5151.0,22173.0,54715.0
País Vasco,Gipuzkoa,Europe,2023,8539.0,1332.0,5443.0,15314.0
País Vasco,Gipuzkoa,America,2023,11440.0,1073.0,10764.0,23277.0
País Vasco,Gipuzkoa,Asia,2024,2280.0,376.0,1815.0,4471.0
País Vasco,Gipuzkoa,America,2024,13394.0,851.0,12387.0,26632.0
País Vasco,Gipuzkoa,Europe,2024,8815.0,1050.0,5860.0,15725.0
País Vasco,Gipuzkoa,Oceania,2024,41.0,3.0,39.0,83.0
País Vasco,Gipuzkoa,Africa,2024,5681.0,2382.0,4896.0,12959.0
País Vasco,Gipuzkoa,Total,2024,30211.0,4662.0,24997.0,59870.0
